Tract
25600
16900
21000
25100
12301
12302
16400
20500
980501
11800
15900
32801
32802
11300
45100
10800
10300
23102
23103
31301
31302
22600
35400
61000
18000
30800
47701
47702
60502
30301
30302
21600
12901
12902
25701
17000
25702
42601
42602
21100
25200
16500
980600
11901
11902
16000
32901
32902
15500
23200
40100
22702
22704
30900
47801
47802
13500
26301
26302
26303
30400
21700
60100
25800
42700
17101
17102
21200
25300
12502
980200
15600
15100
10500
23300
40200
61200
22801
22802
22803
31000
47902
26401
26402
26403
17700
26404
30500
21800
25900
13101
13102
42800
21300
12601
12602
25401
16700
25402
25403
12100
16200
20300
33100
980300
32601
32602
10600
23400
22901
22902
22903
31100
35201
35202
30600
17801
13200
26001
26002
26003
26004
30101
30102
990100
21400
12700
16801
16802
20900
980900
12202
16300
20401
20402
33201
11700
33203
33204
980401
15801
15802
32700
11200
15300
23001
23003
31201
31202
35300
30700
47600
60400
13300
26100
30201
30202
21500
