OBJECTID,site_name,site_addr,aff_unit,tot_units,zip_code,state_fp,county_fp,tractce,neighborhood,,,
237,1300 4th Street,626 Mission Bay Boulevard North,142,143,94158,6,75,60701,Mission Bay,,,
251,Mission Bay South Block 6 West,691 China Basin Street,151,152,94158,6,75,60701,Mission Bay,,,
337,170 Off Third,177 TOWNSEND ST,24,198,94107,6,75,60701,Mission Bay,,,
665,1150 Third Street (Mission Bay South Block 3 East),1150 Third Street,118,119,94158,6,75,60701,Mission Bay,,,
260,Sunnydale Velasco,1900 Sunnydale Ave,646,646,94134,6,75,60502,Visitacion Valley,,,
672,2900 Sloat Blvd.,2900 SLOAT BLVD,6,60,94116,6,75,60400,Lakeshore,,,
624,POTRERO TERRACE,1032 Connecticut St,374,375,94107,6,75,61401,Potrero Hill,,,
2,La Playa,770 La Playa Street,13,14,94121,6,75,47904,Outer Richmond,,,
74,Ocean Beach Apartments,720 La Playa Street,84,85,94121,6,75,47904,Outer Richmond,,,
554,Veterans Academy,1030 GIRARD RD,100,108,94129,6,75,60100,Presidio,,,
607,4042 - 4048 Fulton Street,4042 FULTON ST,5,5,94118,6,75,47600,Outer Richmond,,,
292,788 8th,788 08TH AVE,1,10,94118,6,75,45202,Inner Richmond,,,
688,5400 Geary,5400 GEARY ST,4,37,94121,6,75,42602,Outer Richmond,,,
313,745 Clement,741 CLEMENT ST,1,14,94118,6,75,40200,Inner Richmond,,,
618,289 9th Ave-800 Clement,800-810 CLEMENT ST,16,16,94118,6,75,40200,Inner Richmond,,,
215,345 Arguello,345 Arguello Boulevard,68,69,94118,6,75,40100,Inner Richmond,,,
635,369 3rd??Ave,369 3rd Ave,12,0,,6,75,40100,Inner Richmond,,,
626,GREAT HWY,2206-2268 Great Highway,16,16,94116,6,75,35400,Sunset/Parkside,,,
632,3544 Taraval St,3544 Taraval St,6,0,,6,75,35400,Sunset/Parkside,,,
1,St. Peter's Place,420 29th Avenue,19,20,94118,6,75,42700,Outer Richmond,,,
217,491 31st Ave,491 31st Ave.,74,75,94121,6,75,42700,Outer Richmond,,,
529,Richmond Hills Family Center,6324 GEARY BLVD,0,20,94121,6,75,42700,Outer Richmond,,,
679,1311 43rd,1131 43RD AVE,1,12,94122,6,75,35202,Sunset/Parkside,,,
625,NORIEGA,4101 Noriega,8,8,94122,6,75,35201,Sunset/Parkside,,,
310,6900 Geary,6900 GEARY BLVD,2,17,94109,6,75,47802,Outer Richmond,,,
318,6901 Geary,6901 GEARY BLVD,2,15,94103,6,75,47802,Outer Richmond,,,
331,2545 Judah  (AKA 1408 31st),2545 JUDAH ST,2,13,94122,6,75,32700,Sunset/Parkside,,,
643,1382 30th Ave,1382 30th Ave,4,0,,6,75,32700,Sunset/Parkside,,,
689,270-280 Brighton,280 BRIGHTON ST,3,29,94112,6,75,31201,Oceanview/Merced/Ingleside,,,
693,Swords to Plowshares (De Montfort),27/42 DE MONTFORT AVE,15,22,94112,6,75,31201,Oceanview/Merced/Ingleside,,,
545,Monterey Boulevard Apartments,403 MONTEREY BLVD,4,4,94112,6,75,31100,West of Twin Peaks,,,
194,1100 Ocean Avenue Apartments,1100 Ocean Avenue,70,71,94112,6,75,31000,West of Twin Peaks,,,
411,Avalon Ocean,1150 OCEAN AVE,26,173,94112,6,75,31000,West of Twin Peaks,,,
302,Providence,1701 19TH AVE,8,81,94122,6,75,32602,Sunset/Parkside,,,
570,1340 Portola,1340 PORTOLA DR,0,6,94127,6,75,30800,West of Twin Peaks,,,
416,Habitat Terrace,1 CAPITOL AVE,17,28,94112,6,75,31401,Oceanview/Merced/Ingleside,,,
312,Tower Plaza,600 PORTOLA DR,2,15,94127,6,75,30600,West of Twin Peaks,,,
210,255 Woodside,255 Woodside Avenue,108,109,94127,6,75,30500,Twin Peaks,,,
325,OceanView Terrace,8100 OCEANVIEW TER,2,15,94127,6,75,31302,Oceanview/Merced/Ingleside,,,
705,RANDOLPH,200 Randolph/409 Head,16,16,94132,6,75,31302,Oceanview/Merced/Ingleside,,,
8,Park Sunset Apartments,1353 7th Ave,29,30,94122,6,75,30202,Inner Sunset,,,
94,Heritage Homes,248 Rey Street,146,148,94134,6,75,26404,Visitacion Valley,,,
376,Bayshore,2428 BAYSHORE BLVD,12,12,94134,6,75,26403,Visitacion Valley,,,
530,Leland House,141 LELAND AVE,44,45,94134,6,75,26403,Visitacion Valley,,,
348,199 New Montgomery,199 NEW MONTGOMERY ST,18,166,94105,6,75,61501,Financial District/South Beach,,,
381,74 New Montgomery,74 NEW MONTGOMERY ST,11,107,94105,6,75,61501,Financial District/South Beach,,,
555,The Paramount,680 MISSION ST,99,486,94105,6,75,61501,Financial District/South Beach,,,
92,Britton Courts,1250 Sunnydale Avenue,92,92,94134,6,75,26401,Visitacion Valley,,,
147,Carter Terrace,530 Carter Street,100,101,94134,6,75,26302,Excelsior,,,
327,1828 Geneva,1828 GENEVA AVE,6,48,94134,6,75,26302,Excelsior,,,
16,Crocker Amazon Senior Apartments,5199 Mission Street,36,37,94112,6,75,26301,Excelsior,,,
355,888 Paris,965-985 GENEVA AVE,8,67,94112,6,75,26301,Excelsior,,,
279,The Bouganvillea,5810 MISSION ST,3,27,94112,6,75,26201,Outer Mission,,,
276,Ocean View Village,2251 ALEMANY BLVD,2,37,94112,6,75,26100,Outer Mission,,,
400,5050 Mission,5050 MISSION ST,9,61,94112,6,75,26100,Outer Mission,,,
621,4830 Mission,4830 MISSION ST,21,21,94112,6,75,26100,Outer Mission,,,
671,Crystal Villa,555 CAMBRIDGE ST,10,94,94134,6,75,25900,Portola,,,
528,Woolsey Apartments,195 WOOLSEY ST,9,10,94134,6,75,25800,Portola,,,
441,2895 San Bruno,2895 SAN BRUNO AVE,1,10,94134,6,75,25702,Portola,,,
385,55 Trumbull,4 CRAUT ST,2,18,94112,6,75,25600,Excelsior,,,
289,1301 San Jose/Glen Court,1301 SAN JOSE AVE,3,31,94112,6,75,25502,Outer Mission,,,
584,Excelsior Teen Center,4466-4468 MISSION ST,1,1,94112,6,75,25502,Outer Mission,,,
296,70 Ocean,98 OCEAN AVE,2,20,94112,6,75,25501,Outer Mission,,,
319,Mission Terrace Condominiums,1800-1820 SAN JOSE AVE,2,18,94112,6,75,25501,Outer Mission,,,
664,Alemany,938 Ellsworth Avenue,148,150,94110,6,75,25403,Bernal Heights,,,
684,"Candlestick Point - The Cove,  Phase II",301-501 CRESCENT WAY,18,176,94134,6,75,25403,Bernal Heights,,,
701,3800 Mission Street - Small Sites Project,"3800, 3802, 3804 MISSION ST",5,5,94110,6,75,25403,Bernal Heights,,,
90,Market Heights Apartments,211 Putnam Street,45,46,94110,6,75,25402,Bernal Heights,,,
605,3840 Folsom Street,3840 FOLSOM ST,4,4,94110,6,75,25402,Bernal Heights,,,
211,Holly Courts,100 Appleton Avenue,117,118,94110,6,75,25401,Bernal Heights,,,
700,269 & 271 Richland Avenue,269 & 271 RICHLAND AVE,6,6,94110,6,75,25401,Bernal Heights,,,
320,Tiffany Gardens,3249 MISSION ST,3,33,94110,6,75,25300,Bernal Heights,,,
359,Mission Valencia (FNA Valencia Triangle),3184 MISSION ST,2,20,94110,6,75,25300,Bernal Heights,,,
500,Coleridge Park Homes,190 COLERIDGE ST,49,49,94110,6,75,25300,Bernal Heights,,,
539,Planetree Housing Program,152-154 COLERIDGE ST,11,14,94110,6,75,25300,Bernal Heights,,,
611,35 Fair Avenue,29-35 FAIR AVE,4,4,94110,6,75,25300,Bernal Heights,,,
639,3158 Mission (El Rio),3158 Mission St,8,0,,6,75,25300,Bernal Heights,,,
93,Bernal Gateway Apartments,3101 Mission Street,54,55,94110,6,75,25200,Bernal Heights,,,
523,Moultrie House,374 MOULTRIE ST,9,9,94110,6,75,25200,Bernal Heights,,,
532,Precita House,416 PRECITA AVE,5,5,94110,6,75,25200,Bernal Heights,,,
533,Fannie Lou Hamer House,1221 CORTLAND AVE,2,2,94110,6,75,25200,Bernal Heights,,,
598,344-348 Precita Avenue,344- 348 PRECITA AVE,3,3,94110,6,75,25200,Bernal Heights,,,
613,19-23 Precita Avenue - Small Sites,19-23 PRECITA AVE,3,3,94110,6,75,25200,Bernal Heights,,,
599,1500 Cortland,1500 CORTLAND AVE,4,4,94110,6,75,25100,Bernal Heights,,,
186,1075 Le Conte Affordable Housing,1075 Le Conte Avenue,72,73,94124,6,75,23300,Bayview Hunters Point,,,
195,Bayview Senior Housing,1751 Carroll Avenue,120,121,94124,6,75,23300,Bayview Hunters Point,,,
280,Portola Place,2601 NEWHALL ST,24,259,94124,6,75,23300,Bayview Hunters Point,,,
383,5800 Third  - Buildings 1 & 2,5800 03RD ST,17,139,94124,6,75,23300,Bayview Hunters Point,,,
437,5800 Third  - Building 3,5830 03RD ST,20,136,94124,6,75,23300,Bayview Hunters Point,,,
655,Armstrong Place Senior Housing,5600 Third St.,116,116,94124,6,75,23300,Bayview Hunters Point,,,
506,Jelani House,1601 QUESADA AVE,0,13,94124,6,75,23200,Bayview Hunters Point,,,
22,Jackie Robinson Apartments,1340 Hudson Avenue,129,130,94124,6,75,23103,Bayview Hunters Point,,,
26,All Hallows Gardens Apartments,65 Navy Road,156,157,94124,6,75,23103,Bayview Hunters Point,,,
72,Northridge Coop Homes,1 Ardath Ct.,300,300,94124,6,75,23103,Bayview Hunters Point,,,
174,Reardon Heights,8 Reardon Rd.,82,82,94124,6,75,23103,Bayview Hunters Point,,,
183,Hunters View Phase I,227 West Point Road,107,107,94124,6,75,23103,Bayview Hunters Point,,,
200,Hunters View Phase IIa,112 Middle Point Road,106,107,94124,6,75,23103,Bayview Hunters Point,,,
204,Hunters View Block 10,112 Middle Point Road,71,72,94124,6,75,23103,Bayview Hunters Point,,,
228,Westbrook Apartments,90 Kiska Road,221,223,94124,6,75,23103,Bayview Hunters Point,,,
631,Hunters Point East West (Site B),798 Jerrold Ave,0,0,94124,6,75,23103,Bayview Hunters Point,,,
662,Hunters Point East West (Site A),1068 Oakdale Ave,211,213,94124,6,75,23103,Bayview Hunters Point,,,
10,Ridgeview Terrace,140 Cashmere Street,100,101,94124,6,75,23102,Bayview Hunters Point,,,
19,Bayview Apartments,5 Commer Court,143,146,94124,6,75,23102,Bayview Hunters Point,,,
64,La Salle Apartments,30 Whitfield Court,140,145,94124,6,75,23102,Bayview Hunters Point,,,
82,Shoreview Apartments,35 Lillian Street,152,156,94124,6,75,23102,Bayview Hunters Point,,,
84,"Unity, Peace & Freedom",220 Cashmere St,88,94,94124,6,75,23102,Bayview Hunters Point,,,
670,100 Diana,100 DIANA ST,3,18,94131,6,75,23003,Bayview Hunters Point,,,
49,Betel Apartments,1227 Hampshire Street,35,50,94110,6,75,22903,Mission,,,
122,Good Samaritan Family Apartments,1290 Potrero Avenue,19,20,94110,6,75,22903,Mission,,,
525,2782 24th,2782 24TH ST,3,3,94110,6,75,22903,Mission,,,
484,Bryant Street Apartments,2800 BRYANT ST,7,7,94110,6,75,22902,Mission,,,
537,Magdalena Mora House,2973 26TH ST,2,2,94110,6,75,22902,Mission,,,
612,1411 Florida Street,1411 FLORIDA ST,7,7,94110,6,75,22902,Mission,,,
245,1296 Shotwell Senior Housing,1296 Shotwell Street,93,94,94110,6,75,22901,Mission,,,
256,Casa de la Mision,3001 24th Street,44,45,94110,6,75,22901,Mission,,,
517,3019 23rd,3019 23RD ST,5,6,94110,6,75,22901,Mission,,,
590,Pigeon Palace,2840-2848 FOLSOM ST,6,6,94110,6,75,22901,Mission,,,
604,3182-3198 24th Street,3182 -3198 24TH ST,8,8,94110,6,75,22901,Mission,,,
608,1015 Shotwell,1015 SHOTWELL ST,10,10,94110,6,75,22901,Mission,,,
629,Esperanza & Colosimo Apartments (Site B),3298 25th St,0,0,94110,6,75,22901,Mission,,,
660,Bernal Dwellings,3138 Ceasar Chavez,159,160,94110,6,75,22901,Mission,,,
246,2675 Folsom Street,2675 Folsom Street,24,117,94110,6,75,22803,Mission,,,
358,3000 23rd,2690 HARRISON ST,7,54,94110,6,75,22803,Mission,,,
595,Merry Go Round House - Small Sites,2976 23RD ST,14,14,94110,6,75,22803,Mission,,,
164,Alabama Street Senior Housing,655 Alabama Street,24,24,94110,6,75,22801,Mission,,,
165,Alabama Street Family Housing,2949 18th Street,92,93,94110,6,75,22801,Mission,,,
357,Union,2101 BRYANT ST,9,76,94110,6,75,22801,Mission,,,
388,Mosaica 601,601 ALABAMA ST,21,34,94110,6,75,22801,Mission,,,
494,Women's Hope,2261 BRYANT ST,10,16,94110,6,75,22801,Mission,,,
606,3329-3333 20th Street,3329-3333 20TH ST,10,10,94110,6,75,22801,Mission,,,
278,1130 Mariposa,1130 MARIPOSA ST,2,23,94109,6,75,22702,Potrero Hill,,,
447,1001 17th  (aka 140 Pennsylvania),1001 17TH ST,5,37,94107,6,75,22702,Potrero Hill,,,
275,Potrero Square,701 MINNESOTA ST,5,58,94107,6,75,22600,Potrero Hill,,,
329,638 19th,638 19TH ST,2,18,94107,6,75,22600,Potrero Hill,,,
363,Millwheel South,1275-1301 INDIANA ST,4,32,94107,6,75,22600,Potrero Hill,,,
364,Millwheel North,1275-1301 INDIANA ST,5,39,94107,6,75,22600,Potrero Hill,,,
405,Potrero Launch,2235 03RD ST,39,196,94107,6,75,22600,Potrero Hill,,,
421,616 20th,616 20TH ST,2,16,94107,6,75,22600,Potrero Hill,,,
433,Gantry,2121 03RD ST,18,105,94107,6,75,22600,Potrero Hill,,,
454,Abaca,1201-1225 TENNESSEE ST,34,259,94107,6,75,22600,Potrero Hill,,,
457,The Martin,2051 03RD ST,12,93,94107,6,75,22600,Potrero Hill,,,
461,815-825 Tennessee,815-825 TENNESSEE ST,10,69,94107,6,75,22600,Potrero Hill,,,
467,777 Tennessee,777 TENNESSEE ST,8,59,94107,6,75,22600,Potrero Hill,,,
482,Tennessee Street Housing Corporation,712 TENNESSEE ST,6,6,94107,6,75,22600,Potrero Hill,,,
